MISS pos-038 positive '补口径 · 你们几点上班怎么样' expect= 17 got= [480, 17]
MISS syn-005 paraphrase '请问退换政策说明值得入手吗' expect= 6 got= [479, 13, 6]
MISS syn-007 paraphrase 'xxx的容量有多少' expect= 232 got= [9, 9, 9]
MISS syn-012 paraphrase '钛钢保温瓶的容量有多少' expect= 3 got= [9, 3, 9]
MISS conf-007 confusion '条码怎么样' expect= 226 got= [230, 231, 226]
CONF-MISS conf-007 '条码怎么样' expect= 226 got= [230, 231, 226]
MISS conf-008 confusion '来源怎么样' expect= 226 got= [230, 231, 226]
CONF-MISS conf-008 '来源怎么样' expect= 226 got= [230, 231, 226]
MISS conf-010 confusion '品牌怎么样' expect= 226 got= [232, 497, 268]
CONF-MISS conf-010 '品牌怎么样' expect= 226 got= [232, 497, 268]
MISS conf-011 confusion '配料怎么样' expect= 228 got= [234, 228, 245]
CONF-MISS conf-011 '配料怎么样' expect= 228 got= [234, 228, 245]
