cat,label,review
书籍,1,印刷清晰，纸张手感很好，孩子很喜欢看，值得购买。
书籍,0,封面有折痕，客服说运输问题只给三元补偿，不太满意。
书籍,1,内容比想象中厚实，翻译流畅，一口气读了一半。
书籍,1,正版书，物流很快，第二天就到了，包装严实。
书籍,0,字体太小，排版密集，看久了眼睛累。
平板,1,屏幕显示细腻，追剧很爽，电池能用一整天。
平板,0,收到就有划痕，申请换货等了一周，体验一般。
平板,1,给孩子上网课用，护眼模式实用，运行流畅不卡。
平板,1,轻薄便携，出差带着方便，手写笔延迟低。
平板,0,扬声器声音发闷，看视频体验打了折扣。
手机,1,拍照确实强，夜景成像干净，充电速度飞快。
手机,0,发热控制一般，打游戏半小时后背明显烫手。
手机,1,系统流畅没广告，续航一天半，很满意这次换机。
手机,1,手感轻薄，曲面屏好看，信号比上一代好。
手机,0,夜拍涂抹感重，和宣传样张差距不小。
水果,1,苹果很新鲜，个个脆甜，包装有气柱没磕碰。
水果,0,芒果五个里有两个软烂，拍照售后只退了两斤钱。
水果,1,车厘子果径大，硬脆甜，冰袋还没化就送到了。
水果,1,橙子汁水足，酸酸甜甜，全家都说好吃。
水果,0,草莓到手蔫了不少，感觉在库里放久了。
洗发水,1,去屑效果明显，用完一瓶头皮不痒了，香味清淡。
洗发水,0,瓶口漏液，快递盒里全是泡沫，量也感觉不足。
洗发水,1,泡沫绵密好冲洗，洗完头发蓬松，回购第三次。
洗发水,1,控油不错，两天不洗也不塌，按压泵很方便。
洗发水,0,用完头皮发紧发涩，不适合干性发质。
酒店,1,位置离地铁近，房间安静，早餐种类多，性价比高。
酒店,0,空调噪音大，半夜被吵醒，前台处理态度敷衍。
酒店,1,前台升级了房型，窗外就是江景，服务贴心。
酒店,1,卫生干净，床品有消毒味说明换洗及时，好评。
酒店,0,图片与实物差距大，房间比照片小一半。
计算机,1,屏幕素质好，键盘手感佳，编译代码飞快。
计算机,0,风扇狂转，轻度办公也吵，介意噪音的慎买。
计算机,1,首发价入手很值，内存硬盘都能自己升级。
计算机,1,接口齐全不用拓展坞，机身做工扎实。
计算机,0,屏幕左下角有亮点，换货周期长，等得心焦。
餐厅,1,招牌菜分量足，上菜快，服务员主动添茶。
餐厅,0,等位四十分钟没人招呼，菜品偏咸。
餐厅,1,双人套餐吃到撑，环境适合拍照打卡。
餐厅,1,烤鱼外焦里嫩，配菜土豆粉很入味。
餐厅,0,团购券到店被告知周末不可用，体验差。
网上购物网站,1,大促价格给力，保价申请秒通过，省心。
网上购物网站,0,配送延迟两天没人通知，客服排队半小时。
网上购物网站,1,以旧换新流程顺畅，工程师上门很专业。
网上购物网站,1,退换货上门取件，退款当天到账。
网上购物网站,0,搜索结果全是广告位，找自营店翻了三页。
蒙牛,1,日期新鲜，还剩两个月保质期，箱体无破损。
蒙牛,0,有两盒胀包，售后要求拍视频举证才赔。
蒙牛,1,低温奶口感醇厚，冷链到位，冰袋还是硬的。
水果,0,
手机,1
